Year,Area FIPS Code,Group Code,State,Group,Age,Race,Civilian non-institutional population,Civilian labor force,Civilian labor force Percent of population,Employment Number,Employment Percent of population,Unemployment Number,Unemployment Rate
2009,42,52,Pennsylvania,"Black or African American, 55 to 64 years",55 to 64,Black,108,52,48.6,48,45,4,7.5
2009,44,24,Rhode Island,"Total, 55 to 64 years",55 to 64,Total,131,89,67.6,81,61.9,8,8.5
2009,44,45,Rhode Island,"White, 55 to 64 years",55 to 64,White,122,83,67.9,76,62.6,6,7.7
2009,44,52,Rhode Island,"Black or African American, 55 to 64 years",55 to 64,Black,5,3,66,3,54.2,1,18
2009,44,66,Rhode Island,"Hispanic or Latino ethnicity, 55 to 64 years",55 to 64,Hispanic,6,3,48.7,2,38.2,1,21.6
2009,45,24,South Carolina,"Total, 55 to 64 years",55 to 64,Total,542,301,55.6,281,51.8,20,6.7
2009,45,45,South Carolina,"White, 55 to 64 years",55 to 64,White,396,230,57.9,218,54.9,12,5.2
2009,45,52,South Carolina,"Black or African American, 55 to 64 years",55 to 64,Black,138,67,48.6,60,43.5,7,10.6
2009,46,24,South Dakota,"Total, 55 to 64 years",55 to 64,Total,93,70,75.1,67,72.4,3,3.6
2009,46,45,South Dakota,"White, 55 to 64 years",55 to 64,White,88,68,76.9,65,74.2,2,3.5
2009,47,24,Tennessee,"Total, 55 to 64 years",55 to 64,Total,706,407,57.6,377,53.4,30,7.3
2009,47,45,Tennessee,"White, 55 to 64 years",55 to 64,White,601,339,56.5,314,52.2,25,7.5
2009,47,52,Tennessee,"Black or African American, 55 to 64 years",55 to 64,Black,87,55,63.6,51,58.7,4,7.8
2009,48,24,Texas,"Total, 55 to 64 years",55 to 64,Total,"2,445","1,557",63.7,"1,468",60.1,88,5.7
2009,48,45,Texas,"White, 55 to 64 years",55 to 64,White,"2,065","1,330",64.4,"1,257",60.8,73,5.5
2009,48,52,Texas,"Black or African American, 55 to 64 years",55 to 64,Black,259,143,55.5,132,50.9,12,8.2
2009,48,59,Texas,"Asian, 55 to 64 years",55 to 64,Asian,84,59,70.6,57,67.8,2,3.9
2009,48,66,Texas,"Hispanic or Latino ethnicity, 55 to 64 years",55 to 64,Hispanic,633,353,55.7,328,51.8,25,7
2009,49,24,Utah,"Total, 55 to 64 years",55 to 64,Total,233,161,69.1,156,66.7,6,3.6
2009,49,45,Utah,"White, 55 to 64 years",55 to 64,White,227,157,68.9,151,66.4,6,3.7
2009,50,24,Vermont,"Total, 55 to 64 years",55 to 64,Total,90,67,74.3,64,70.5,3,5.2
2009,50,45,Vermont,"White, 55 to 64 years",55 to 64,White,88,65,74.4,62,70.5,3,5.2
2009,51,24,Virginia,"Total, 55 to 64 years",55 to 64,Total,909,625,68.8,598,65.7,27,4.4
2009,51,45,Virginia,"White, 55 to 64 years",55 to 64,White,712,501,70.3,483,67.9,17,3.5
2009,51,52,Virginia,"Black or African American, 55 to 64 years",55 to 64,Black,147,85,57.6,79,53.5,6,7
2009,51,59,Virginia,"Asian, 55 to 64 years",55 to 64,Asian,40,32,81.2,29,72.5,3,10.7
2009,53,24,Washington,"Total, 55 to 64 years",55 to 64,Total,809,544,67.2,505,62.4,39,7.2
2009,53,45,Washington,"White, 55 to 64 years",55 to 64,White,715,481,67.3,448,62.7,33,6.8
2009,53,59,Washington,"Asian, 55 to 64 years",55 to 64,Asian,53,41,77.9,39,73.4,2,5.8
2009,54,24,West Virginia,"Total, 55 to 64 years",55 to 64,Total,254,141,55.5,134,52.8,7,4.9
2009,54,45,West Virginia,"White, 55 to 64 years",55 to 64,White,243,135,55.6,129,52.8,7,5.1
2009,55,24,Wisconsin,"Total, 55 to 64 years",55 to 64,Total,666,455,68.3,429,64.3,27,5.8
2009,55,45,Wisconsin,"White, 55 to 64 years",55 to 64,White,621,429,69.1,406,65.4,23,5.4
2009,55,52,Wisconsin,"Black or African American, 55 to 64 years",55 to 64,Black,36,19,54.2,17,46.7,3,13.8
2009,56,24,Wyoming,"Total, 55 to 64 years",55 to 64,Total,69,50,72.1,48,69.2,2,4.1
2009,56,45,Wyoming,"White, 55 to 64 years",55 to 64,White,66,48,72.3,46,69.4,2,4.1
2008,1,24,Alabama,"Total, 55 to 64 years",55 to 64,Total,562,311,55.3,303,53.9,8,2.6
2008,1,45,Alabama,"White, 55 to 64 years",55 to 64,White,432,248,57.3,242,56,6,2.3
2008,1,52,Alabama,"Black or African American, 55 to 64 years",55 to 64,Black,121,60,49.6,58,47.9,2,3.4
2008,2,24,Alaska,"Total, 55 to 64 years",55 to 64,Total,72,48,66.5,45,63.2,2,5
2008,2,45,Alaska,"White, 55 to 64 years",55 to 64,White,57,40,69.1,38,66.1,2,4.3
2008,4,24,Arizona,"Total, 55 to 64 years",55 to 64,Total,728,455,62.4,438,60.2,16,3.6
2008,4,45,Arizona,"White, 55 to 64 years",55 to 64,White,659,413,62.7,400,60.6,14,3.3
2008,4,66,Arizona,"Hispanic or Latino ethnicity, 55 to 64 years",55 to 64,Hispanic,128,79,61.7,76,59.1,3,4.2
2008,5,24,Arkansas,"Total, 55 to 64 years",55 to 64,Total,343,197,57.4,192,56.1,5,2.3
2008,5,45,Arkansas,"White, 55 to 64 years",55 to 64,White,289,174,60,170,58.6,4,2.4
2008,6,24,California,"Total, 55 to 64 years",55 to 64,Total,"3,670","2,419",65.9,"2,313",63,107,4.4
2008,6,45,California,"White, 55 to 64 years",55 to 64,White,"2,860","1,914",66.9,"1,836",64.2,78,4.1
2008,6,52,California,"Black or African American, 55 to 64 years",55 to 64,Black,231,133,57.5,124,53.6,9,6.8
2008,6,59,California,"Asian, 55 to 64 years",55 to 64,Asian,491,324,66,307,62.5,17,5.3
2008,6,66,California,"Hispanic or Latino ethnicity, 55 to 64 years",55 to 64,Hispanic,790,498,63,467,59.1,31,6.3
2008,8,24,Colorado,"Total, 55 to 64 years",55 to 64,Total,541,375,69.4,361,66.7,15,3.9
2008,8,45,Colorado,"White, 55 to 64 years",55 to 64,White,506,354,69.9,340,67.2,14,3.9
2008,9,24,Connecticut,"Total, 55 to 64 years",55 to 64,Total,409,299,73,288,70.3,11,3.7
2008,9,45,Connecticut,"White, 55 to 64 years",55 to 64,White,363,269,74.1,261,72.1,7,2.8
2008,10,24,Delaware,"Total, 55 to 64 years",55 to 64,Total,101,61,61,59,58.7,2,3.7
2008,10,45,Delaware,"White, 55 to 64 years",55 to 64,White,79,50,62.8,48,60.7,2,3.4
2008,10,52,Delaware,"Black or African American, 55 to 64 years",55 to 64,Black,19,10,54.5,10,52.3,-3,4.1
2008,11,24,District of Columbia,"Total, 55 to 64 years",55 to 64,Total,64,42,65.4,40,61.8,2,5.6
2008,11,45,District of Columbia,"White, 55 to 64 years",55 to 64,White,25,20,79.4,20,78.2,-3,1.5
2008,11,52,District of Columbia,"Black or African American, 55 to 64 years",55 to 64,Black,37,21,55.9,19,50.8,2,9.1
2008,12,24,Florida,"Total, 55 to 64 years",55 to 64,Total,"2,164","1,387",64.1,"1,328",61.4,59,4.3
2008,12,45,Florida,"White, 55 to 64 years",55 to 64,White,"1,841","1,184",64.3,"1,135",61.7,48,4.1
2008,12,52,Florida,"Black or African American, 55 to 64 years",55 to 64,Black,272,169,62.2,159,58.4,10,6.2
2008,12,66,Florida,"Hispanic or Latino ethnicity, 55 to 64 years",55 to 64,Hispanic,325,219,67.6,210,64.7,10,4.3
2008,13,24,Georgia,"Total, 55 to 64 years",55 to 64,Total,"1,008",633,62.8,608,60.3,25,4
2008,13,45,Georgia,"White, 55 to 64 years",55 to 64,White,738,497,67.4,484,65.5,14,2.8
2008,13,52,Georgia,"Black or African American, 55 to 64 years",55 to 64,Black,239,115,48.2,105,44.1,10,8.6
2008,15,24,Hawaii,"Total, 55 to 64 years",55 to 64,Total,152,100,65.7,98,64.5,2,1.8
2008,15,45,Hawaii,"White, 55 to 64 years",55 to 64,White,47,31,65.4,30,63.5,1,2.8
2008,15,59,Hawaii,"Asian, 55 to 64 years",55 to 64,Asian,69,48,69.8,48,69.2,-3,0.8
2008,16,24,Idaho,"Total, 55 to 64 years",55 to 64,Total,164,107,65.5,103,63,4,3.9
2008,16,45,Idaho,"White, 55 to 64 years",55 to 64,White,157,102,64.8,98,62.3,4,3.9
2008,17,24,Illinois,"Total, 55 to 64 years",55 to 64,Total,"1,306",853,65.3,818,62.6,35,4.1
2008,17,45,Illinois,"White, 55 to 64 years",55 to 64,White,"1,085",731,67.3,704,64.9,26,3.6
2008,17,52,Illinois,"Black or African American, 55 to 64 years",55 to 64,Black,170,90,52.9,83,49,7,7.3
2008,17,66,Illinois,"Hispanic or Latino ethnicity, 55 to 64 years",55 to 64,Hispanic,76,48,63.1,46,60.4,2,4.3
2008,18,24,Indiana,"Total, 55 to 64 years",55 to 64,Total,710,489,68.9,476,67.1,13,2.6
2008,18,45,Indiana,"White, 55 to 64 years",55 to 64,White,673,464,68.9,452,67.2,12,2.5
2008,19,24,Iowa,"Total, 55 to 64 years",55 to 64,Total,350,253,72.3,247,70.5,6,2.5
2008,19,45,Iowa,"White, 55 to 64 years",55 to 64,White,337,247,73.2,241,71.5,6,2.3
2008,20,24,Kansas,"Total, 55 to 64 years",55 to 64,Total,320,228,71.3,223,69.7,5,2.2
2008,20,45,Kansas,"White, 55 to 64 years",55 to 64,White,288,209,72.7,205,71.2,4,2
2008,21,24,Kentucky,"Total, 55 to 64 years",55 to 64,Total,484,260,53.8,254,52.6,6,2.3
2008,21,45,Kentucky,"White, 55 to 64 years",55 to 64,White,454,244,53.7,238,52.4,6,2.4
2008,22,24,Louisiana,"Total, 55 to 64 years",55 to 64,Total,487,287,58.9,277,56.9,10,3.4
2008,22,45,Louisiana,"White, 55 to 64 years",55 to 64,White,349,211,60.6,207,59.3,5,2.2
2008,22,52,Louisiana,"Black or African American, 55 to 64 years",55 to 64,Black,125,67,53.7,62,49.6,5,7.6
2008,23,24,Maine,"Total, 55 to 64 years",55 to 64,Total,178,117,65.7,113,63.3,4,3.6
2008,23,45,Maine,"White, 55 to 64 years",55 to 64,White,173,115,66.1,111,63.8,4,3.4
2008,24,24,Maryland,"Total, 55 to 64 years",55 to 64,Total,645,460,71.2,449,69.6,10,2.3
2008,24,45,Maryland,"White, 55 to 64 years",55 to 64,White,445,327,73.4,319,71.8,7,2.2
2008,24,52,Maryland,"Black or African American, 55 to 64 years",55 to 64,Black,164,110,67.5,107,65.7,3,2.7
2008,25,24,Massachusetts,"Total, 55 to 64 years",55 to 64,Total,723,499,69,477,66,21,4.3
2008,25,45,Massachusetts,"White, 55 to 64 years",55 to 64,White,637,452,70.9,432,67.8,20,4.4
2008,26,24,Michigan,"Total, 55 to 64 years",55 to 64,Total,"1,142",674,59,633,55.4,41,6.1
2008,26,45,Michigan,"White, 55 to 64 years",55 to 64,White,985,605,61.4,569,57.8,36,5.9
2008,26,52,Michigan,"Black or African American, 55 to 64 years",55 to 64,Black,127,52,41.4,48,38,4,8.1
2008,27,24,Minnesota,"Total, 55 to 64 years",55 to 64,Total,552,395,71.6,378,68.5,17,4.2
2008,27,45,Minnesota,"White, 55 to 64 years",55 to 64,White,525,378,72.1,362,69,16,4.3
2008,28,24,Mississippi,"Total, 55 to 64 years",55 to 64,Total,324,175,53.9,169,52.1,6,3.4
2008,28,45,Mississippi,"White, 55 to 64 years",55 to 64,White,222,130,58.7,127,57.1,3,2.6
2008,28,52,Mississippi,"Black or African American, 55 to 64 years",55 to 64,Black,99,43,43.3,40,40.6,3,6.1
2008,29,24,Missouri,"Total, 55 to 64 years",55 to 64,Total,682,423,62,404,59.2,19,4.6
2008,29,45,Missouri,"White, 55 to 64 years",55 to 64,White,600,379,63.2,365,60.9,13,3.6
2008,30,24,Montana,"Total, 55 to 64 years",55 to 64,Total,121,81,67.2,78,64,4,4.7
2008,30,45,Montana,"White, 55 to 64 years",55 to 64,White,116,79,68.1,75,64.8,4,4.8
2008,31,24,Nebraska,"Total, 55 to 64 years",55 to 64,Total,187,144,77,141,75.5,3,2
2008,31,45,Nebraska,"White, 55 to 64 years",55 to 64,White,179,139,77.6,136,76.1,3,1.9
2008,32,24,Nevada,"Total, 55 to 64 years",55 to 64,Total,296,192,64.9,184,62.2,8,4
2008,32,45,Nevada,"White, 55 to 64 years",55 to 64,White,250,164,65.6,157,62.8,7,4.3
2008,33,24,New Hampshire,"Total, 55 to 64 years",55 to 64,Total,159,116,73.2,113,71.2,3,2.6
2008,33,45,New Hampshire,"White, 55 to 64 years",55 to 64,White,154,113,73.4,110,71.4,3,2.7
2008,34,24,New Jersey,"Total, 55 to 64 years",55 to 64,Total,930,643,69.1,614,66,28,4.4
2008,34,45,New Jersey,"White, 55 to 64 years",55 to 64,White,740,519,70.1,498,67.3,21,4
2008,34,52,New Jersey,"Black or African American, 55 to 64 years",55 to 64,Black,97,57,59.3,51,52.5,7,11.4
2008,34,59,New Jersey,"Asian, 55 to 64 years",55 to 64,Asian,83,59,71.1,58,69.8,1,1.8
2008,34,66,New Jersey,"Hispanic or Latino ethnicity, 55 to 64 years",55 to 64,Hispanic,99,64,64.8,61,61.1,4,5.6
2008,35,24,New Mexico,"Total, 55 to 64 years",55 to 64,Total,226,143,63.3,140,61.8,3,2.4
2008,35,45,New Mexico,"White, 55 to 64 years",55 to 64,White,201,128,63.5,125,62,3,2.4
2008,35,66,New Mexico,"Hispanic or Latino ethnicity, 55 to 64 years",55 to 64,Hispanic,78,43,55.8,42,54.1,1,3
2008,36,24,New York,"Total, 55 to 64 years",55 to 64,Total,"2,158","1,404",65.1,"1,348",62.5,57,4
2008,36,45,New York,"White, 55 to 64 years",55 to 64,White,"1,650","1,064",64.5,"1,023",62,41,3.9
2008,36,52,New York,"Black or African American, 55 to 64 years",55 to 64,Black,304,202,66.5,193,63.6,9,4.4
2008,36,59,New York,"Asian, 55 to 64 years",55 to 64,Asian,168,112,66.7,106,62.9,6,5.8
2008,36,66,New York,"Hispanic or Latino ethnicity, 55 to 64 years",55 to 64,Hispanic,253,140,55.3,133,52.7,7,4.8
2008,37,24,North Carolina,"Total, 55 to 64 years",55 to 64,Total,"1,052",647,61.5,623,59.2,24,3.7
2008,37,45,North Carolina,"White, 55 to 64 years",55 to 64,White,837,527,63,507,60.6,20,3.7
2008,37,52,North Carolina,"Black or African American, 55 to 64 years",55 to 64,Black,175,96,54.7,91,52.3,4,4.5
2008,38,24,North Dakota,"Total, 55 to 64 years",55 to 64,Total,75,57,76.1,57,75,1,1.5
2008,38,45,North Dakota,"White, 55 to 64 years",55 to 64,White,71,55,77.8,54,76.7,1,1.5
2008,39,24,Ohio,"Total, 55 to 64 years",55 to 64,Total,"1,330",852,64.1,820,61.6,32,3.8
2008,39,45,Ohio,"White, 55 to 64 years",55 to 64,White,"1,176",775,65.9,748,63.6,27,3.4
2008,39,52,Ohio,"Black or African American, 55 to 64 years",55 to 64,Black,130,62,48.1,58,44.8,4,6.8
2008,40,24,Oklahoma,"Total, 55 to 64 years",55 to 64,Total,382,226,59.1,219,57.4,7,2.9
2008,40,45,Oklahoma,"White, 55 to 64 years",55 to 64,White,306,185,60.4,180,58.7,5,2.8
2008,41,24,Oregon,"Total, 55 to 64 years",55 to 64,Total,488,312,64.1,299,61.3,14,4.4
2008,41,45,Oregon,"White, 55 to 64 years",55 to 64,White,457,295,64.5,282,61.8,13,4.3
2008,42,24,Pennsylvania,"Total, 55 to 64 years",55 to 64,Total,"1,445",934,64.7,908,62.9,26,2.8
2008,42,45,Pennsylvania,"White, 55 to 64 years",55 to 64,White,"1,307",865,66.2,841,64.3,25,2.8
2008,42,52,Pennsylvania,"Black or African American, 55 to 64 years",55 to 64,Black,109,54,49.4,53,48.5,1,1.9
2008,44,24,Rhode Island,"Total, 55 to 64 years",55 to 64,Total,123,83,67.6,79,64.3,4,4.9
2008,44,45,Rhode Island,"White, 55 to 64 years",55 to 64,White,114,78,67.8,74,64.8,4,4.5
2008,45,24,South Carolina,"Total, 55 to 64 years",55 to 64,Total,533,328,61.5,309,58.1,18,5.5
2008,45,45,South Carolina,"White, 55 to 64 years",55 to 64,White,391,247,63.3,236,60.2,12,4.8
2008,45,52,South Carolina,"Black or African American, 55 to 64 years",55 to 64,Black,133,75,56.2,69,51.9,6,7.7
2008,46,24,South Dakota,"Total, 55 to 64 years",55 to 64,Total,87,69,79,68,78.1,1,1.1
2008,46,45,South Dakota,"White, 55 to 64 years",55 to 64,White,83,66,79.6,66,78.8,1,1
2008,47,24,Tennessee,"Total, 55 to 64 years",55 to 64,Total,712,430,60.4,412,57.9,18,4.2
2008,47,45,Tennessee,"White, 55 to 64 years",55 to 64,White,633,376,59.4,360,56.9,16,4.3
2008,47,52,Tennessee,"Black or African American, 55 to 64 years",55 to 64,Black,67,46,68.5,44,66,2,3.6
2008,48,24,Texas,"Total, 55 to 64 years",55 to 64,Total,"2,304","1,415",61.4,"1,374",59.6,41,2.9
2008,48,45,Texas,"White, 55 to 64 years",55 to 64,White,"1,946","1,219",62.7,"1,193",61.3,26,2.1
2008,48,52,Texas,"Black or African American, 55 to 64 years",55 to 64,Black,248,123,49.5,112,45.3,10,8.5
2008,48,66,Texas,"Hispanic or Latino ethnicity, 55 to 64 years",55 to 64,Hispanic,615,303,49.3,295,48,8,2.6
2008,49,24,Utah,"Total, 55 to 64 years",55 to 64,Total,240,168,69.8,165,68.6,3,1.7
2008,49,45,Utah,"White, 55 to 64 years",55 to 64,White,231,161,69.5,158,68.2,3,1.8
2008,50,24,Vermont,"Total, 55 to 64 years",55 to 64,Total,88,65,73.4,63,70.9,2,3.3
2008,50,45,Vermont,"White, 55 to 64 years",55 to 64,White,86,63,73.1,61,70.6,2,3.4
2008,51,24,Virginia,"Total, 55 to 64 years",55 to 64,Total,870,599,68.9,585,67.2,15,2.4
2008,51,45,Virginia,"White, 55 to 64 years",55 to 64,White,689,477,69.2,464,67.4,12,2.6
2008,51,52,Virginia,"Black or African American, 55 to 64 years",55 to 64,Black,141,92,65,90,63.6,2,2.2
2008,53,24,Washington,"Total, 55 to 64 years",55 to 64,Total,774,510,65.9,489,63.2,21,4.1
2008,53,45,Washington,"White, 55 to 64 years",55 to 64,White,705,473,67.1,454,64.4,19,4
2008,54,24,West Virginia,"Total, 55 to 64 years",55 to 64,Total,256,127,49.8,124,48.3,4,2.9
2008,54,45,West Virginia,"White, 55 to 64 years",55 to 64,White,243,121,49.8,118,48.5,3,2.5
2008,55,24,Wisconsin,"Total, 55 to 64 years",55 to 64,Total,643,434,67.5,421,65.5,13,3
2008,55,45,Wisconsin,"White, 55 to 64 years",55 to 64,White,602,411,68.3,400,66.5,11,2.7
2008,56,24,Wyoming,"Total, 55 to 64 years",55 to 64,Total,68,47,69.4,46,68.1,1,1.8
2008,56,45,Wyoming,"White, 55 to 64 years",55 to 64,White,65,46,70.2,45,69,1,1.8
2007,1,24,Alabama,"Total, 55 to 64 years",55 to 64,Total,545,312,57.3,306,56.2,6,1.9
2007,1,45,Alabama,"White, 55 to 64 years",55 to 64,White,426,257,60.3,252,59.2,5,1.8
2007,2,24,Alaska,"Total, 55 to 64 years",55 to 64,Total,72,47,64.9,44,61.6,2,5.1
2007,2,45,Alaska,"White, 55 to 64 years",55 to 64,White,57,38,67.3,37,64.4,2,4.3
2007,4,24,Arizona,"Total, 55 to 64 years",55 to 64,Total,645,375,58.1,363,56.3,12,3.2
2007,4,45,Arizona,"White, 55 to 64 years",55 to 64,White,567,333,58.7,323,56.9,10,3.1
2007,4,66,Arizona,"Hispanic or Latino ethnicity, 55 to 64 years",55 to 64,Hispanic,124,66,53,63,50.8,3,4
2007,5,24,Arkansas,"Total, 55 to 64 years",55 to 64,Total,336,193,57.6,186,55.5,7,3.7
2007,5,45,Arkansas,"White, 55 to 64 years",55 to 64,White,293,176,60.1,170,57.9,6,3.5
2007,6,24,California,"Total, 55 to 64 years",55 to 64,Total,"3,426","2,214",64.6,"2,130",62.2,84,3.8
2007,6,45,California,"White, 55 to 64 years",55 to 64,White,"2,649","1,742",65.8,"1,677",63.3,65,3.8
2007,6,52,California,"Black or African American, 55 to 64 years",55 to 64,Black,216,121,55.8,113,52.4,7,6.1
2007,6,59,California,"Asian, 55 to 64 years",55 to 64,Asian,471,299,63.5,288,61.1,11,3.8
2007,6,66,California,"Hispanic or Latino ethnicity, 55 to 64 years",55 to 64,Hispanic,685,427,62.4,404,59,24,5.6
2007,8,24,Colorado,"Total, 55 to 64 years",55 to 64,Total,523,364,69.6,353,67.6,10,2.8
2007,8,45,Colorado,"White, 55 to 64 years",55 to 64,White,483,341,70.6,331,68.7,9,2.7
2007,9,24,Connecticut,"Total, 55 to 64 years",55 to 64,Total,377,269,71.5,262,69.6,7,2.6
2007,9,45,Connecticut,"White, 55 to 64 years",55 to 64,White,336,242,72.2,237,70.4,6,2.4
2007,10,24,Delaware,"Total, 55 to 64 years",55 to 64,Total,98,63,64.2,62,63.2,1,1.6
2007,10,45,Delaware,"White, 55 to 64 years",55 to 64,White,77,49,63.8,49,62.8,1,1.5
2007,10,52,Delaware,"Black or African American, 55 to 64 years",55 to 64,Black,17,12,66.3,11,64.9,-3,2.2
2007,11,24,District of Columbia,"Total, 55 to 64 years",55 to 64,Total,62,40,64.5,38,62,2,3.9
2007,11,45,District of Columbia,"White, 55 to 64 years",55 to 64,White,24,19,80.3,19,79.3,-3,1.2
2007,11,52,District of Columbia,"Black or African American, 55 to 64 years",55 to 64,Black,36,20,54.2,18,50.7,1,6.5
2007,12,24,Florida,"Total, 55 to 64 years",55 to 64,Total,"2,104","1,314",62.4,"1,280",60.8,34,2.6
2007,12,45,Florida,"White, 55 to 64 years",55 to 64,White,"1,801","1,141",63.3,"1,115",61.9,26,2.3
2007,12,52,Florida,"Black or African American, 55 to 64 years",55 to 64,Black,248,138,55.6,132,53.3,6,4.2
2007,12,66,Florida,"Hispanic or Latino ethnicity, 55 to 64 years",55 to 64,Hispanic,336,218,64.8,210,62.3,8,3.7
2007,13,24,Georgia,"Total, 55 to 64 years",55 to 64,Total,990,622,62.8,609,61.5,13,2.1
2007,13,45,Georgia,"White, 55 to 64 years",55 to 64,White,723,485,67.1,479,66.2,6,1.3
2007,13,52,Georgia,"Black or African American, 55 to 64 years",55 to 64,Black,239,119,49.9,113,47.5,6,4.6
2007,15,24,Hawaii,"Total, 55 to 64 years",55 to 64,Total,150,102,67.9,100,66.7,2,1.7
2007,15,45,Hawaii,"White, 55 to 64 years",55 to 64,White,41,29,71,28,69,1,2.9
2007,15,59,Hawaii,"Asian, 55 to 64 years",55 to 64,Asian,78,52,66.6,51,65.6,1,1.4
2007,16,24,Idaho,"Total, 55 to 64 years",55 to 64,Total,159,105,66.2,103,64.8,2,2
2007,16,45,Idaho,"White, 55 to 64 years",55 to 64,White,150,97,64.7,95,63.4,2,2.1
2007,17,24,Illinois,"Total, 55 to 64 years",55 to 64,Total,"1,282",838,65.4,808,63,30,3.6
2007,17,45,Illinois,"White, 55 to 64 years",55 to 64,White,"1,082",727,67.2,702,64.9,26,3.5
2007,17,52,Illinois,"Black or African American, 55 to 64 years",55 to 64,Black,152,76,50,72,47.7,4,4.7
2007,17,66,Illinois,"Hispanic or Latino ethnicity, 55 to 64 years",55 to 64,Hispanic,94,57,60.7,55,58.3,2,4
2007,18,24,Indiana,"Total, 55 to 64 years",55 to 64,Total,687,426,62,413,60.1,13,3.1
2007,18,45,Indiana,"White, 55 to 64 years",55 to 64,White,638,397,62.2,386,60.4,11,2.8
2007,19,24,Iowa,"Total, 55 to 64 years",55 to 64,Total,328,240,73.3,235,71.7,5,2.2
2007,19,45,Iowa,"White, 55 to 64 years",55 to 64,White,318,236,74.1,230,72.5,5,2.3
2007,20,24,Kansas,"Total, 55 to 64 years",55 to 64,Total,305,217,71.1,211,69.2,6,2.7
2007,20,45,Kansas,"White, 55 to 64 years",55 to 64,White,284,203,71.4,198,69.9,4,2.2
2007,21,24,Kentucky,"Total, 55 to 64 years",55 to 64,Total,503,269,53.4,263,52.2,6,2.3
2007,21,45,Kentucky,"White, 55 to 64 years",55 to 64,White,478,255,53.4,250,52.4,5,1.9
2007,22,24,Louisiana,"Total, 55 to 64 years",55 to 64,Total,464,267,57.5,260,55.9,8,2.8
2007,22,45,Louisiana,"White, 55 to 64 years",55 to 64,White,349,207,59.3,203,58.2,4,1.8
2007,22,52,Louisiana,"Black or African American, 55 to 64 years",55 to 64,Black,112,58,51.7,54,48.4,4,6.4
2007,23,24,Maine,"Total, 55 to 64 years",55 to 64,Total,178,116,65.3,113,63.6,3,2.6
2007,23,45,Maine,"White, 55 to 64 years",55 to 64,White,174,114,65.6,111,63.9,3,2.5
2007,24,24,Maryland,"Total, 55 to 64 years",55 to 64,Total,621,434,69.9,427,68.7,8,1.8
2007,24,45,Maryland,"White, 55 to 64 years",55 to 64,White,426,308,72.4,304,71.4,4,1.4
2007,24,52,Maryland,"Black or African American, 55 to 64 years",55 to 64,Black,163,106,65.2,103,63.3,3,2.8
2007,25,24,Massachusetts,"Total, 55 to 64 years",55 to 64,Total,688,484,70.3,463,67.4,20,4.2
2007,25,45,Massachusetts,"White, 55 to 64 years",55 to 64,White,628,452,72.1,433,69,19,4.3
2007,26,24,Michigan,"Total, 55 to 64 years",55 to 64,Total,"1,146",672,58.6,638,55.7,34,5
2007,26,45,Michigan,"White, 55 to 64 years",55 to 64,White,995,599,60.3,570,57.3,29,4.9
2007,26,52,Michigan,"Black or African American, 55 to 64 years",55 to 64,Black,126,55,43.9,52,41.1,3,6.3
2007,27,24,Minnesota,"Total, 55 to 64 years",55 to 64,Total,523,373,71.3,359,68.6,14,3.8
2007,27,45,Minnesota,"White, 55 to 64 years",55 to 64,White,494,357,72.2,344,69.6,13,3.6
2007,28,24,Mississippi,"Total, 55 to 64 years",55 to 64,Total,353,196,55.6,189,53.5,7,3.8
2007,28,45,Mississippi,"White, 55 to 64 years",55 to 64,White,251,151,60.2,146,58,5,3.6
2007,28,52,Mississippi,"Black or African American, 55 to 64 years",55 to 64,Black,101,45,44.5,43,42.6,2,4.3
2007,29,24,Missouri,"Total, 55 to 64 years",55 to 64,Total,629,409,65,392,62.3,17,4.2
2007,29,45,Missouri,"White, 55 to 64 years",55 to 64,White,554,367,66.3,352,63.4,16,4.3
2007,30,24,Montana,"Total, 55 to 64 years",55 to 64,Total,118,78,66,75,63.9,2,3.1
2007,30,45,Montana,"White, 55 to 64 years",55 to 64,White,114,75,66.1,73,64.3,2,2.8
2007,31,24,Nebraska,"Total, 55 to 64 years",55 to 64,Total,178,136,76.2,132,74,4,2.9
2007,31,45,Nebraska,"White, 55 to 64 years",55 to 64,White,167,129,77.5,125,75.2,4,3
2007,32,24,Nevada,"Total, 55 to 64 years",55 to 64,Total,284,177,62.5,169,59.5,8,4.7
2007,32,45,Nevada,"White, 55 to 64 years",55 to 64,White,241,153,63.3,147,60.9,6,3.8
2007,32,66,Nevada,"Hispanic or Latino ethnicity, 55 to 64 years",55 to 64,Hispanic,31,19,62.9,17,56.3,2,10.5
2007,33,24,New Hampshire,"Total, 55 to 64 years",55 to 64,Total,155,113,73.2,110,71.4,3,2.4
2007,33,45,New Hampshire,"White, 55 to 64 years",55 to 64,White,149,110,73.3,107,71.5,3,2.5
2007,34,24,New Jersey,"Total, 55 to 64 years",55 to 64,Total,940,671,71.4,650,69.2,21,3.1
2007,34,45,New Jersey,"White, 55 to 64 years",55 to 64,White,757,547,72.2,528,69.8,18,3.3
2007,34,52,New Jersey,"Black or African American, 55 to 64 years",55 to 64,Black,100,70,70.6,69,68.9,2,2.4
2007,34,66,New Jersey,"Hispanic or Latino ethnicity, 55 to 64 years",55 to 64,Hispanic,91,55,60,50,55.2,4,8
2007,35,24,New Mexico,"Total, 55 to 64 years",55 to 64,Total,215,125,57.8,122,56.7,2,1.9
